-- Customers

insert into Customer (Login_ID, Contact_No, Name, DOB, Gender, Nationality, E_mail) values ('91703429', '8854358986', 'Darius Joist', '2022/04/28', 'M', 'Colombia', 'djoist0@issuu.com');
insert into Customer (Login_ID, Contact_No, Name, DOB, Gender, Nationality, E_mail) values ('48190290', '8627325682', 'Hillel Sedman', '2023/02/07', 'M', 'China', 'hsedman1@acquirethisname.com');
insert into Customer (Login_ID, Contact_No, Name, DOB, Gender, Nationality, E_mail) values ('46665614', '8895960803', 'Jami Chaffe', '2024/01/25', 'F', 'Cuba', 'jchaffe2@php.net');
insert into Customer (Login_ID, Contact_No, Name, DOB, Gender, Nationality, E_mail) values ('41642324', '9539899855', 'Val Critchell', '2023/07/30', 'F', 'Russia', 'vcritchell3@usa.gov');
insert into Customer (Login_ID, Contact_No, Name, DOB, Gender, Nationality, E_mail) values ('97068527', '9708336004', 'Kort Trobridge', '2022/07/25', 'M', 'China', 'ktrobridge4@feedburner.com');
insert into Customer (Login_ID, Contact_No, Name, DOB, Gender, Nationality, E_mail) values ('51528158', '9724121269', 'Jannelle Pietasch', '2023/12/04', 'M', 'Brazil', 'jpietasch5@ebay.com');
insert into Customer (Login_ID, Contact_No, Name, DOB, Gender, Nationality, E_mail) values ('55851103', '8767247412', 'Drake Gerrard', '2024/03/22', 'M', 'Portugal', 'dgerrard6@msu.edu');
insert into Customer (Login_ID, Contact_No, Name, DOB, Gender, Nationality, E_mail) values ('31916558', '9032879872', 'Benjamin Hesey', '2022/03/23', 'M', 'Greece', 'bhesey7@w3.org');
insert into Customer (Login_ID, Contact_No, Name, DOB, Gender, Nationality, E_mail) values ('50192313', '8325554482', 'Henderson Hoy', '2024/01/11', 'M', 'Mongolia', 'hhoy8@dell.com');
insert into Customer (Login_ID, Contact_No, Name, DOB, Gender, Nationality, E_mail) values ('24352520', '8228166662', 'Jasper Quant', '2022/03/17', 'M', 'Indonesia', 'jquant9@msu.edu');
insert into Customer (Login_ID, Contact_No, Name, DOB, Gender, Nationality, E_mail) values ('67876485', '9967159690', 'Shelly Wildblood', '2022/07/29', 'F', 'United States', 'swildblooda@4shared.com');
